book_id,title,language,num_pages,publish_date,avg_rating,num_ratings,num_reviews,price,stock,price_band,publish_decade
380,A Colorful Symphony: Full Score,English,68.0,1997-05-01,5.0,1,1,505.8,10,Premium (500-700),1990.0
381,La Caseta Magica (the Phantom Tollbooth,Spanish,,2001-08-01,4.16,258207,10677,565.4,100,Premium (500-700),2000.0
382,The Phantom Tollbooth: A Children's Play in Two Acts,English,68.0,2011-01-12,4.15,103,12,471.8,10,Mid (300-500),2010.0
383,The Phantom Tollbooth,English,,1993-01-01,4.16,258207,10677,565.4,100,Premium (500-700),1990.0
384,A Literature Guide [To] The Phantom Tollbooth Written By Norton Juster; Illustrated By Jules Feiffer,English,85.0,1998-01-01,5.0,2,0,507.5,10,Premium (500-700),1990.0
385,On Bullshit,English,74.0,2005-01-30,3.58,11167,1216,449.6,50,Mid (300-500),2000.0
386,Another Bullshit Night in Suck City,English,347.0,2005-09-12,3.79,10415,978,485.3,50,Mid (300-500),2000.0
387,100 Bullshit Jobs...And How to Get Them,English,320.0,2006-05-02,3.18,177,24,458.2,10,Mid (300-500),2000.0
388,The Business of Bullshit,English,193.0,2006-05-30,3.59,17,3,461.9,10,Mid (300-500),2000.0
389,Bullshit Artist: The 9/11 Leadership Myth,English,326.0,2006-03-28,4.67,6,0,518.4,10,Premium (500-700),2000.0
390,Your Call Is Important to Us: The Truth About Bullshit,English,272.0,2006-05-23,3.43,329,38,463.4,10,Mid (300-500),2000.0
391,Dictionary of Bullshit,English,176.0,2006-04-01,3.13,32,3,441.8,10,Mid (300-500),2000.0
392,"Bullets, Badges, and Bullshit",English,444.0,2006-03-06,5.0,2,0,543.4,10,Premium (500-700),2000.0
393,"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",English,342.0,2006-09-01,3.36,58,8,467.6,10,Mid (300-500),2000.0
394,Lincoln at Gettysburg: The Words That Remade America,English,317.0,1993-06-12,4.15,7644,250,496.7,25,Mid (300-500),1990.0
395,Lincoln's Gettysburg Address in Translation,English,36.0,1972-12-31,4.53,6911,179,483.8,25,Mid (300-500),1970.0
396,A. Lincoln'S Gettysburg Addres,English,79.0,2000-10-28,4.0,4,0,466.9,10,Mid (300-500),2000.0
397,The Gettysburg Address,English,32.0,1998-02-02,4.53,6911,179,483.4,25,Mid (300-500),1990.0
398,The Battle of Gettysburg and Lincoln's Gettyburg Address,English,48.0,2004-05-01,4.25,8,3,473.8,10,Mid (300-500),2000.0
399,Underworld,English,827.0,1998-07-09,3.93,27382,2028,538.9,50,Premium (500-700),1990.0
400,Libra,English,480.0,1991-05-01,4.0,14511,889,507.0,50,Premium (500-700),1990.0
401,Don DeLillo's White Noise,English,246.0,2002-08-01,3.69,36,1,471.2,10,Mid (300-500),2000.0
402,Mao II,English,241.0,1992-01-01,3.68,10123,604,470.3,50,Mid (300-500),1990.0
403,Americana,English,377.0,1989-07-06,3.41,5057,408,473.1,25,Mid (300-500),1980.0
404,Running Dog,English,256.0,1989-07-17,3.44,1808,129,462.2,25,Mid (300-500),1980.0
405,Ratner's Star,English,448.0,1989-07-17,3.47,1937,181,482.6,25,Mid (300-500),1980.0
406,Cosmopolis,English,224.0,2004-04-06,3.23,15162,1384,450.6,50,Mid (300-500),2000.0
407,Great Jones Street,English,272.0,1994-01-01,3.47,3054,230,465.0,25,Mid (300-500),1990.0
408,The Names,English,339.0,1989-07-17,3.64,3810,289,478.5,25,Mid (300-500),1980.0
